#obj1,#obj2,#obj3,#con1,#con2,#var1,#var2,#Gen,#Eval
0.04333333,-0.73041677,0.00271928,0.00666667,0.29728072,0.842390660994143,0.0837971871623461,38,5761
0.04333333,-0.72847188,0.00230476,0.00666667,0.29769524,0.842380748685155,0.0837968110801934,42,6309
0.04333333,-0.72847188,0.00230476,0.00666667,0.29769524,0.842380748685155,0.0837968110801934,43,6447
0.03333334,-0.89862883,0.04893002,0.01666666,0.25106998,0.832084097151004,0.0889870788061093,43,6486
0.03333334,-0.87811732,0.0149898,0.01666666,0.2850102,0.832226966464294,0.0888453216697844,46,7003
0.03333334,-0.89862883,0.04893002,0.01666666,0.25106998,0.832084097151004,0.0889870788061093,47,7137
0.03333334,-0.89862883,0.04893002,0.01666666,0.25106998,0.832084097151004,0.0889870788061093,48,7236
0.03333334,-0.8982985,0.04886554,0.01666666,0.25113446,0.832086044506042,0.0889864869388764,48,7252
0.03409336,-0.89514661,0.02297811,0.01590664,0.27702189,0.832651028563109,0.088826572341003,48,7265
0.04333333,-0.72847188,0.00230476,0.00666667,0.29769524,0.842380748685155,0.0837968110801934,49,7347
0.03333334,-0.89753604,0.04568231,0.01666666,0.25431769,0.831905220998564,0.0889731589911321,49,7389
0.03333334,-0.89862883,0.04893002,0.01666666,0.25106998,0.832084097151004,0.0889870788061093,49,7429
0.04,-0.86973059,0.00288293,0.01,0.29711707,0.831636432272904,0.0889619956732881,49,7434
0.03333334,-0.89333332,0.01828294,0.01666666,0.28171706,0.832329952252272,0.0888973817876829,51,7711
0.03333334,-0.89753604,0.04568231,0.01666666,0.25431769,0.831905220998564,0.0889731589911321,51,7723
0.04340527,-0.72684938,0.0018887,0.00659473,0.2981113,0.842372050361363,0.083796357955089,52,7808
0.03333334,-0.71823859,0.01137662,0.01666666,0.28862338,0.834174906978223,0.0884704807966663,56,8474
0.04340527,-0.72684938,0.0018887,0.00659473,0.2981113,0.842372050361363,0.083796357955089,57,8588
0.03333334,-0.7242943,0.01249289,0.01666666,0.28750711,0.834150723450898,0.0884765243268779,58,8754
0.03929294,-0.97991097,0.00482595,0.01070706,0.29517405,0.476017911361232,0.0916232086291894,58,8800
0.0395425,-0.97996199,0.00463233,0.0104575,0.29536767,0.476017656231132,0.0916257041444986,58,8821
0.04333333,-0.72713429,0.00196201,0.00666667,0.29803799,0.842374120341961,0.0837969300164604,59,8877
0.03742446,-0.97998959,0.00627698,0.01257554,0.29372302,0.476017361524672,0.0916045244416633,59,8955
0.0397595,-0.9799785,0.00446581,0.0102405,0.29553419,0.47601757374093,0.0916278740567476,59,9007
0.03922255,-0.9799993,0.00487382,0.01077745,0.29512618,0.476017469795399,0.0916225047469085,60,9064
0.0433662,-0.72692984,0.00194733,0.0066338,0.29805267,0.842373894033116,0.0837975354414754,60,9078
0.03988014,-0.97999638,0.00437267,0.01011986,0.29562733,0.476017484369051,0.0916290804053333,60,9104
0.03965184,-0.97994852,0.00454985,0.01034816,0.29545015,0.476017723420456,0.0916267975635536,60,9115
0.03825042,-0.97995079,0.00561814,0.01174958,0.29438186,0.476017712118246,0.091612783815493,60,9131
0.03921414,-0.97998363,0.00488126,0.01078586,0.29511874,0.476017548112159,0.0916224206319174,60,9137
0.03957673,-0.97993988,0.00460769,0.01042327,0.29539231,0.476017766870858,0.0916260464685251,61,9215
0.0396097,-0.97999877,0.00457869,0.0103903,0.29542131,0.476017472224112,0.0916263760797094,61,9217
0.03968722,-0.97998935,0.0045202,0.01031278,0.2954798,0.476017519332456,0.0916271513041804,61,9243
0.03985222,-0.97999471,0.00439406,0.01014778,0.29560594,0.476017492724879,0.0916288012440009,62,9396
0.03960705,-0.97999978,0.00458064,0.01039295,0.29541936,0.476017467303629,0.091626349641678,62,9424
0.03979537,-0.97999936,0.00443911,0.01020463,0.29556089,0.476017459447355,0.0916282327362538,62,9434
0.0392177,-0.97998792,0.00487826,0.0107823,0.29512174,0.476017526690537,0.0916224562468836,63,9490
0.03333334,-0.71469414,0.00973722,0.01666666,0.29026278,0.83418539114192,0.0884634485510885,63,9532
0.03333334,-0.70570445,0.00651967,0.01666666,0.29348033,0.834210105380169,0.0884596028940816,63,9534
0.04336457,-0.72685629,0.00192496,0.00663543,0.29807504,0.842372344668854,0.083796470631133,63,9535
0.04344211,-0.72686058,0.00189704,0.00655789,0.29810296,0.842371842022229,0.0837961979775353,63,9536
0.0388748,-0.97992671,0.0051437,0.0111252,0.2948563,0.476017832695604,0.0916190273621754,63,9576
0.0391084,-0.97998214,0.00496197,0.0108916,0.29503803,0.476017555383339,0.091621363272682,63,9578
0.0398976,-0.97999114,0.00435969,0.0101024,0.29564031,0.476017510585121,0.0916292550583884,63,9585
0.03928614,-0.97999156,0.00485156,0.01071386,0.29514844,0.476017381193553,0.0916231406058833,63,9606
0.03873941,-0.97991085,0.00524796,0.01126059,0.29475204,0.476017911782556,0.0916176735564267,63,9625
0.03990551,-0.97999561,0.00435337,0.01009449,0.29564663,0.476017488213762,0.0916293341587723,64,9640
0.03960555,-0.97997189,0.00458361,0.01039445,0.29541639,0.476017606777466,0.0916263346613423,64,9705
0.03909804,-0.97998446,0.00496971,0.01090196,0.29503029,0.47601754373808,0.091621259684672,64,9720
0.03989841,-0.97999001,0.00435915,0.01010159,0.29564085,0.476017516112694,0.0916292631676391,64,9740
0.03965864,-0.97997999,0.00454261,0.01034136,0.29545739,0.476017566143232,0.0916268654671487,64,9741
