#Gen,#Eval,HyperVolume using each gen,HyperVolume using whole gen,Num of feasible individuals
1,153,0.217322187655487,0,1
2,306,0,0,0
3,459,0,0,0
4,612,0,0,0
5,765,0,0,0
6,918,0,0,0
7,1071,0.516927829737463,0,1
8,1224,0,0,0
9,1377,0,0,0
10,1530,0.354587211341773,0.522253476704784,1
11,1683,0.451382043925652,0.522732911357263,3
12,1836,0,0.522732911357263,0
13,1989,0,0.522732911357263,0
14,2142,0.548866563201215,0.569101546180481,2
15,2295,0.483914276840688,0.569609344515998,3
16,2448,0.47254533788302,0.569609344515998,2
17,2601,0.527843058541181,0.570050054946715,4
18,2754,0,0.570050054946715,0
19,2907,0.47438317773,0.570050054946715,2
20,3060,0.48614474437094,0.570050054946715,3
21,3213,0.440631276682804,0.570050054946715,2
22,3366,0.586179096035394,0.590947133753974,4
23,3519,0.583274930494716,0.59341133757754,2
24,3672,0.608221332184964,0.620616140217966,4
25,3825,0.636188448697411,0.637920065343047,2
26,3978,0.665100091858852,0.637920065343047,4
27,4131,0.622904996708855,0.671271909420939,12
28,4284,0.640358916097175,0.671272398862997,15
29,4437,0.61050658693193,0.671272398862997,6
30,4590,0.645831081336253,0.671526702300309,13
31,4743,0.669324179789761,0.671656433488447,32
32,4896,0.649752340513663,0.675005858793246,18
33,5049,0.65352519214308,0.675005858793246,14
34,5202,0.678664572430938,0.679998215117524,30
35,5355,0.675226579801636,0.679998215117524,31
36,5508,0.67478901484938,0.679998215117524,25
37,5661,0.678900290364505,0.680776958338724,25
38,5814,0.656723870242705,0.680776958338724,30
39,5967,0.67945153115215,0.680776958338724,48
40,6120,0.674002433333522,0.680776958338724,62
41,6273,0.680099834179339,0.681706985531039,68
42,6426,0.681615709015621,0.681820254227611,85
43,6579,0.681889596571987,0.681820254227611,99
44,6732,0.684904674421305,0.684904674421305,103
45,6885,0.686383927230911,0.684904674421305,105
46,7038,0.685495216766784,0.684904674421305,119
47,7191,0.685942750810991,0.684904674421305,131
48,7344,0.686778416784722,0.684904674421305,138
49,7497,0.686440429497462,0.684904674421305,136
50,7650,0.686613407849272,0.684904674421305,133
51,7803,0.686822038490692,0.684904674421305,139
52,7956,0.686712891237764,0.684904674421305,138
53,8109,0.686805651937952,0.684904674421305,137
54,8262,0.686836200219331,0.684904674421305,137
55,8415,0.68683683391536,0.684904674421305,140
56,8568,0.686885401205553,0.684904674421305,145
57,8721,0.686869903204853,0.684904674421305,141
58,8874,0.686875709789115,0.684904674421305,141
59,9027,0.686889595997742,0.684904674421305,143
60,9180,0.686886289757593,0.684904674421305,145
61,9333,0.686895457686007,0.684904674421305,138
62,9486,0.686899135878173,0.684904674421305,141
63,9639,0.686900692566243,0.684904674421305,143
64,9792,0.686901188502266,0.684904674421305,148
65,9945,0.686903544198372,0.684904674421305,141
66,10098,0.686903130918353,0.684904674421305,141
67,10251,0.686903440878367,0.684904674421305,145
68,10404,0.686904508518415,0.684904674421305,145
69,10557,0.686904336318408,0.684904674421305,144
70,10710,0.686904522294416,0.684904674421305,146
71,10863,0.686904646278422,0.684904674421305,141
72,11016,0.686904625614421,0.684904674421305,144
73,11169,0.686904790926428,0.684904674421305,142
74,11322,0.686904784038428,0.684904674421305,144
75,11475,0.686904770262427,0.684904674421305,145
76,11628,0.686904790926428,0.686904790926428,142
77,11781,0.686904790926428,0.686904790926428,143
78,11934,0.686904790926428,0.686904790926428,143
79,12087,0.686904790926428,0.686904790926428,146
80,12240,0.686904790926428,0.686904790926428,142
81,12393,0.686904790926428,0.686904790926428,145
82,12546,0.686904797814428,0.686904790926428,142
83,12699,0.686904790926428,0.686904790926428,143
84,12852,0.686904797814428,0.686904797814428,143
85,13005,0.686904797814428,0.686904797814428,146
86,13158,0.686904797814428,0.686904797814428,145
87,13311,0.686904797814428,0.686904797814428,142
88,13464,0.686904797814428,0.686904797814428,146
89,13617,0.686904797814428,0.686904797814428,141
90,13770,0.686904797814428,0.686904797814428,144
91,13923,0.686904797814428,0.686904797814428,149
92,14076,0.686904797814428,0.686904797814428,143
93,14229,0.686904797814428,0.686904797814428,140
94,14382,0.686904797814428,0.686904797814428,147
95,14535,0.686904797814428,0.686904797814428,139
96,14688,0.686904797814428,0.686904797814428,144
97,14841,0.686904797814428,0.686904797814428,143
98,14994,0.686904797814428,0.686904797814428,140
99,15147,0.686904797814428,0.686904797814428,144
100,15300,0.686904797814428,0.686904797814428,141
101,15453,0.686904797814428,0.686904797814428,144
102,15606,0.686904797814428,0.686904797814428,149
103,15759,0.686904797814428,0.686904797814428,143
104,15912,0.686904797814428,0.686904797814428,145
105,16065,0.686904797814428,0.686904797814428,140
106,16218,0.686904797814428,0.686904797814428,145
107,16371,0.686904797814428,0.686904797814428,143
108,16524,0.686904797814428,0.686904797814428,140
109,16677,0.686904797814428,0.686904797814428,144
110,16830,0.686904797814428,0.686904797814428,145
111,16983,0.686904797814428,0.686904797814428,144
112,17136,0.686904797814428,0.686904797814428,146
113,17289,0.686904797814428,0.686904797814428,146
114,17442,0.686904797814428,0.686904797814428,142
115,17595,0.686904797814428,0.686904797814428,139
116,17748,0.686904797814428,0.686904797814428,144
117,17901,0.686904797814428,0.686904797814428,144
118,18054,0.686904797814428,0.686904797814428,142
119,18207,0.686904797814428,0.686904797814428,145
120,18360,0.686904797814428,0.686904797814428,142
121,18513,0.686904797814428,0.686904797814428,147
122,18666,0.686904797814428,0.686904797814428,138
123,18819,0.686904797814428,0.686904797814428,138
124,18972,0.686904797814428,0.686904797814428,141
125,19125,0.686904797814428,0.686904797814428,140
126,19278,0.686904797814428,0.686904797814428,141
127,19431,0.686904797814428,0.686904797814428,142
128,19584,0.686904797814428,0.686904797814428,143
129,19737,0.686904797814428,0.686904797814428,140
130,19890,0.686904797814428,0.686904797814428,139
131,20043,0.686904797814428,0.686904797814428,141
132,20196,0.686904797814428,0.686904797814428,140
133,20349,0.686904797814428,0.686904797814428,145
134,20502,0.686904797814428,0.686904797814428,150
135,20655,0.686904797814428,0.686904797814428,141
136,20808,0.686904797814428,0.686904797814428,148
137,20961,0.686904797814428,0.686904797814428,145
138,21114,0.686904797814428,0.686904797814428,142
139,21267,0.686904797814428,0.686904797814428,139
140,21420,0.686904797814428,0.686904797814428,141
141,21573,0.686904797814428,0.686904797814428,141
142,21726,0.686904797814428,0.686904797814428,142
143,21879,0.686904797814428,0.686904797814428,145
144,22032,0.686904797814428,0.686904797814428,142
145,22185,0.686904797814428,0.686904797814428,135
146,22338,0.686904797814428,0.686904797814428,140
147,22491,0.686904797814428,0.686904797814428,137
148,22644,0.686904797814428,0.686904797814428,145
149,22797,0.686904797814428,0.686904797814428,147
150,22950,0.686904797814428,0.686904797814428,138
151,23103,0.686904797814428,0.686904797814428,144
152,23256,0.686904797814428,0.686904797814428,145
153,23409,0.686904797814428,0.686904797814428,144
154,23562,0.686904797814428,0.686904797814428,147
155,23715,0.686904797814428,0.686904797814428,142
156,23868,0.686904797814428,0.686904797814428,146
157,24021,0.686904797814428,0.686904797814428,139
158,24174,0.686904797814428,0.686904797814428,140
159,24327,0.686904797814428,0.686904797814428,143
160,24480,0.686904797814428,0.686904797814428,144
161,24633,0.686904797814428,0.686904797814428,143
162,24786,0.686904797814428,0.686904797814428,142
163,24939,0.686904797814428,0.686904797814428,144
