#Gen,#Eval,HyperVolume using each gen,HyperVolume using whole gen,Num of feasible individuals
1,150,0,0,0
2,300,0,0,0
3,450,0,0,0
4,600,0,0,0
5,750,0,0,0
6,900,0,0,0
7,1050,0,0,0
8,1200,0.433759117396951,0,1
9,1350,0.417649393237437,0.435219428505512,1
10,1500,0,0.435219428505512,0
11,1650,0,0.435219428505512,0
12,1800,0,0.435219428505512,0
13,1950,0,0.435219428505512,0
14,2100,0,0.435219428505512,0
15,2250,0,0.435219428505512,0
16,2400,0,0.435219428505512,0
17,2550,0,0.435219428505512,0
18,2700,0,0.435219428505512,0
19,2850,0,0.435219428505512,0
20,3000,0.43834783587,0.47292677393893,1
21,3150,0,0.47292677393893,0
22,3300,0.38284437062283,0.500398732993192,1
23,3450,0,0.500398732993192,0
24,3600,0.450263954700524,0.519445620769487,1
25,3750,0.462783160921612,0.521425130556486,2
26,3900,0,0.521425130556486,0
27,4050,0,0.521425130556486,0
28,4200,0.470870502290749,0.521937935054224,2
29,4350,0.413148738577319,0.521937935054224,1
30,4500,0.543559091103288,0.550023145043872,4
31,4650,0.430358735575809,0.550023145043872,1
32,4800,0.472294152684806,0.550023145043872,2
33,4950,0.426371044054598,0.550023145043872,3
34,5100,0.543559091103288,0.550023145043872,2
35,5250,0.463796422909033,0.550023145043872,2
36,5400,0.629138937486167,0.550023145043872,3
37,5550,0.510725642002413,0.550023145043872,5
38,5700,0.577389910727445,0.550023145043872,4
39,5850,0.488030869607188,0.550023145043872,2
40,6000,0.593117620206229,0.550023145043872,4
41,6150,0.564224492229087,0.645918486512756,3
42,6300,0.671198433411004,0.645918486512756,9
43,6450,0.628132385510977,0.645918486512756,7
44,6600,0.618089920762874,0.645918486512756,5
45,6750,0.638948575952535,0.645918486512756,7
46,6900,0.627810856621098,0.645918486512756,5
47,7050,0.637604226536836,0.645918486512756,8
48,7200,0.635302075457919,0.645918486512756,5
49,7350,0.669841214907604,0.672483366751553,8
50,7500,0.645841066570713,0.672483366751553,9
51,7650,0.673315243916606,0.677726258503957,13
52,7800,0.651458481220694,0.677726258503957,12
53,7950,0.667815528435012,0.677726258503957,11
54,8100,0.660194877301908,0.677726258503957,7
55,8250,0.683051774424461,0.677726258503957,11
56,8400,0.677977018579897,0.677726258503957,11
57,8550,0.680176616966158,0.677726258503957,15
58,8700,0.682706809592885,0.677726258503957,9
59,8850,0.682170468560669,0.677726258503957,10
60,9000,0.683051774424461,0.683051774424461,16
61,9150,0.685080869108076,0.683051774424461,18
62,9300,0.682763366963439,0.683051774424461,15
63,9450,0.684712932795464,0.683051774424461,13
64,9600,0.685821081173498,0.683051774424461,17
65,9750,0.685830297317914,0.683051774424461,17
66,9900,0.686196738934459,0.683051774424461,17
67,10050,0.686298708891063,0.683051774424461,18
68,10200,0.68610862074648,0.683051774424461,19
69,10350,0.686677362932159,0.683051774424461,15
70,10500,0.686652731443047,0.683051774424461,16
71,10650,0.68634447965313,0.683051774424461,14
72,10800,0.686664158635563,0.683051774424461,17
73,10950,0.686436069393265,0.683051774424461,15
74,11100,0.68673828040691,0.683051774424461,16
75,11250,0.68675932324786,0.683051774424461,16
76,11400,0.686776701672645,0.683051774424461,18
77,11550,0.686791076929294,0.683051774424461,17
78,11700,0.686754811607656,0.683051774424461,13
79,11850,0.686855266204192,0.683051774424461,16
80,12000,0.686883252149456,0.683051774424461,16
81,12150,0.686862147316503,0.683051774424461,15
82,12300,0.686827624658944,0.683051774424461,13
83,12450,0.686866190572685,0.683051774424461,12
84,12600,0.686875248293094,0.683051774424461,15
85,12750,0.686889093173719,0.683051774424461,16
86,12900,0.686857346380286,0.683051774424461,15
87,13050,0.686897255454088,0.683051774424461,12
88,13200,0.686895905406027,0.683051774424461,15
89,13350,0.686883872069484,0.683051774424461,14
90,13500,0.686881275293366,0.683051774424461,11
91,13650,0.686888307941684,0.683051774424461,13
92,13800,0.68689996932621,0.683051774424461,16
93,13950,0.686898798366158,0.683051774424461,14
94,14100,0.686899686918198,0.683051774424461,13
95,14250,0.686899597374194,0.683051774424461,17
96,14400,0.686901167838264,0.683051774424461,15
97,14550,0.686901043854259,0.683051774424461,16
98,14700,0.686900334390227,0.683051774424461,16
99,14850,0.686903268678359,0.683051774424461,16
100,15000,0.686903523534371,0.683051774424461,15
101,15150,0.686900892318252,0.683051774424461,14
102,15300,0.686902765854337,0.683051774424461,16
103,15450,0.686903261790359,0.683051774424461,16
104,15600,0.686903537310372,0.683051774424461,19
105,15750,0.686904494742415,0.683051774424461,18
106,15900,0.686903530422371,0.683051774424461,20
107,16050,0.686903833494385,0.683051774424461,19
108,16200,0.686903702622379,0.683051774424461,19
109,16350,0.686903964366391,0.683051774424461,20
110,16500,0.68690393681439,0.683051774424461,18
111,16650,0.686904019470393,0.683051774424461,14
112,16800,0.68690394370239,0.683051774424461,18
113,16950,0.686904184782401,0.683051774424461,19
114,17100,0.6869041778944,0.683051774424461,17
115,17250,0.686904122790398,0.683051774424461,19
116,17400,0.686904356982408,0.683051774424461,16
117,17550,0.686904129678398,0.683051774424461,21
118,17700,0.686904315654407,0.683051774424461,17
119,17850,0.686904301878406,0.683051774424461,17
120,18000,0.686904205446402,0.683051774424461,19
121,18150,0.686904329430407,0.683051774424461,19
122,18300,0.68690439142241,0.683051774424461,19
123,18450,0.686904363870409,0.683051774424461,16
124,18600,0.68690439142241,0.683051774424461,17
125,18750,0.686904418974411,0.683051774424461,18
126,18900,0.686904439638412,0.683051774424461,15
127,19050,0.686904418974411,0.683051774424461,15
128,19200,0.686904474078414,0.683051774424461,15
129,19350,0.686904418974411,0.683051774424461,15
130,19500,0.686904480966414,0.683051774424461,14
131,19650,0.68690461183842,0.683051774424461,18
132,19800,0.686904460302413,0.683051774424461,12
133,19950,0.686904673830423,0.683051774424461,7
134,20100,0.686904680718423,0.683051774424461,10
135,20250,0.686904797814428,0.683051774424461,9
136,20400,0.686904494742415,0.683051774424461,6
137,20550,0.686904790926428,0.683051774424461,10
