#Gen,#Eval,HyperVolume using each gen,HyperVolume using whole gen,Num of feasible individuals
1,153,0.474499437681789,0,1
2,306,0,0,0
3,459,0,0,0
4,612,0,0,0
5,765,0,0,0
6,918,0,0,0
7,1071,0,0,0
8,1224,0,0,0
9,1377,0,0,0
10,1530,0,0,0
11,1683,0,0,0
12,1836,0,0,0
13,1989,0,0,0
14,2142,0,0,0
15,2295,0,0,0
16,2448,0,0,0
17,2601,0,0,0
18,2754,0,0,0
19,2907,0,0,0
20,3060,0,0,0
21,3213,0,0,0
22,3366,0,0,0
23,3519,0,0,0
24,3672,0,0,0
25,3825,0,0,0
26,3978,0,0,0
27,4131,0,0,0
28,4284,0,0,0
29,4437,0,0,0
30,4590,0,0,0
31,4743,0,0,0
32,4896,0,0,0
33,5049,0,0,0
34,5202,0,0,0
35,5355,0,0,0
36,5508,0,0,0
37,5661,0,0,0
38,5814,0,0,0
39,5967,0,0,0
40,6120,0,0,0
41,6273,0,0,0
42,6426,0,0,0
43,6579,0,0,0
44,6732,0,0,0
45,6885,0,0,0
46,7038,0,0,0
47,7191,0,0,0
48,7344,0,0,0
49,7497,0,0,0
50,7650,0,0,0
51,7803,0,0,0
52,7956,0,0,0
53,8109,0,0,0
54,8262,0,0,0
55,8415,0,0,0
56,8568,0,0,0
57,8721,0,0,0
58,8874,0,0,0
59,9027,0,0,0
60,9180,0.474499437681789,0.474499437681789,1
61,9333,0,0.474499437681789,0
62,9486,0,0.474499437681789,0
63,9639,0,0.474499437681789,0
64,9792,0,0.474499437681789,0
65,9945,0,0.474499437681789,0
66,10098,0,0.474499437681789,0
67,10251,0,0.474499437681789,0
68,10404,0,0.474499437681789,0
69,10557,0,0.474499437681789,0
70,10710,0,0.474499437681789,0
71,10863,0,0.474499437681789,0
72,11016,0,0.474499437681789,0
73,11169,0.471407333014249,0.544411244375909,1
74,11322,0,0.544411244375909,0
75,11475,0,0.544411244375909,0
76,11628,0,0.544411244375909,0
77,11781,0,0.544411244375909,0
78,11934,0,0.544411244375909,0
79,12087,0,0.544411244375909,0
80,12240,0,0.544411244375909,0
81,12393,0,0.544411244375909,0
82,12546,0,0.544411244375909,0
83,12699,0,0.544411244375909,0
84,12852,0,0.544411244375909,0
85,13005,0,0.544411244375909,0
86,13158,0,0.544411244375909,0
87,13311,0,0.544411244375909,0
88,13464,0,0.544411244375909,0
89,13617,0,0.544411244375909,0
90,13770,0,0.544411244375909,0
91,13923,0,0.544411244375909,0
92,14076,0,0.544411244375909,0
93,14229,0,0.544411244375909,0
94,14382,0,0.544411244375909,0
95,14535,0,0.544411244375909,0
96,14688,0,0.544411244375909,0
97,14841,0,0.544411244375909,0
98,14994,0,0.544411244375909,0
99,15147,0,0.544411244375909,0
100,15300,0.265389409646313,0.544411244375909,1
101,15453,0,0.544411244375909,0
102,15606,0,0.544411244375909,0
103,15759,0,0.544411244375909,0
104,15912,0,0.544411244375909,0
105,16065,0,0.544411244375909,0
106,16218,0,0.544411244375909,0
107,16371,0,0.544411244375909,0
108,16524,0,0.544411244375909,0
109,16677,0,0.544411244375909,0
110,16830,0,0.544411244375909,0
111,16983,0,0.544411244375909,0
112,17136,0,0.544411244375909,0
113,17289,0,0.544411244375909,0
114,17442,0,0.544411244375909,0
115,17595,0,0.544411244375909,0
116,17748,0,0.544411244375909,0
117,17901,0,0.544411244375909,0
118,18054,0,0.544411244375909,0
119,18207,0,0.544411244375909,0
120,18360,0,0.544411244375909,0
121,18513,0,0.544411244375909,0
122,18666,0,0.544411244375909,0
123,18819,0,0.544411244375909,0
124,18972,0,0.544411244375909,0
125,19125,0,0.544411244375909,0
126,19278,0.46957229077027,0.544435549953242,1
127,19431,0.46327489104237,0.546415297304326,1
128,19584,0,0.546415297304326,0
129,19737,0,0.546415297304326,0
130,19890,0,0.546415297304326,0
131,20043,0,0.546415297304326,0
132,20196,0.400013945065331,0.546415297304326,1
133,20349,0,0.546415297304326,0
134,20502,0,0.546415297304326,0
135,20655,0,0.546415297304326,0
136,20808,0,0.546415297304326,0
137,20961,0,0.546415297304326,0
138,21114,0,0.546415297304326,0
139,21267,0.52683018417,0.557314506121922,1
140,21420,0,0.557314506121922,0
141,21573,0.421329125297259,0.557314506121922,1
142,21726,0.45519757472089,0.566897610612812,1
143,21879,0.499046937417562,0.567257972592812,2
144,22032,0,0.567257972592812,0
145,22185,0.432577540847806,0.567257972592812,1
146,22338,0,0.567257972592812,0
147,22491,0,0.567257972592812,0
148,22644,0,0.567257972592812,0
149,22797,0,0.567257972592812,0
150,22950,0,0.567257972592812,0
151,23103,0,0.567257972592812,0
152,23256,0,0.567257972592812,0
153,23409,0.486467455541023,0.567257972592812,1
154,23562,0,0.567257972592812,0
155,23715,0.473836282389444,0.567262493760564,2
156,23868,0.486467455541023,0.567262493760564,1
157,24021,0.479302712276479,0.567262493760564,1
158,24174,0,0.567262493760564,0
159,24327,0.477218200245038,0.56727524748849,3
160,24480,0,0.56727524748849,0
161,24633,0,0.56727524748849,0
162,24786,0.486467455541023,0.56727524748849,2
163,24939,0,0.56727524748849,0
164,25092,0,0.56727524748849,0
165,25245,0.459563306384377,0.56727524748849,1
166,25398,0.413523386051631,0.56727524748849,1
167,25551,0.610830186282797,0.616120053512048,1
168,25704,0,0.616120053512048,0
169,25857,0.486467455541023,0.616120053512048,1
170,26010,0.494016708396763,0.616120053512048,2
171,26163,0.4266940409,0.616120053512048,1
172,26316,0.434986356853757,0.616120053512048,1
173,26469,0.454002800934813,0.616120053512048,2
174,26622,0,0.616120053512048,0
175,26775,0,0.616120053512048,0
176,26928,0.486467455541023,0.616120053512048,1
177,27081,0.454041842737011,0.616120053512048,1
178,27234,0.486467455541023,0.616120053512048,1
179,27387,0,0.616120053512048,0
180,27540,0,0.616120053512048,0
181,27693,0.454453692419891,0.616120053512048,1
182,27846,0,0.616120053512048,0
183,27999,0,0.616120053512048,0
184,28152,0.486467455541023,0.616120053512048,1
185,28305,0,0.616120053512048,0
186,28458,0.486467455541023,0.616120053512048,2
187,28611,0,0.616120053512048,0
188,28764,0.45676587091201,0.616120053512048,1
189,28917,0.486467455541023,0.616120053512048,3
190,29070,0.467944775783195,0.616120053512048,2
191,29223,0.486467455541023,0.616120053512048,2
192,29376,0.486467455541023,0.616120053512048,1
193,29529,0,0.616120053512048,0
194,29682,0.474499437681789,0.616120053512048,1
195,29835,0.486467455541023,0.616120053512048,2
196,29988,0.486467455541023,0.616120053512048,2
197,30141,0.475805109905128,0.616120053512048,1
198,30294,0,0.616120053512048,0
199,30447,0.486467455541023,0.616120053512048,2
200,30600,0,0.616120053512048,0
201,30753,0,0.616120053512048,0
202,30906,0.48693665953279,0.616120053512048,2
203,31059,0.487071878987593,0.616120053512048,4
204,31212,0.495802683910293,0.616120053512048,3
205,31365,0,0.616120053512048,0
206,31518,0.486467455541023,0.616120053512048,6
207,31671,0,0.616120053512048,0
208,31824,0,0.616120053512048,0
209,31977,0,0.616120053512048,0
210,32130,0.482704052286783,0.616120053512048,2
211,32283,0.461761577866278,0.616120053512048,3
212,32436,0.482704052286783,0.616120053512048,2
213,32589,0.488060088648065,0.616120053512048,4
214,32742,0.483776461951773,0.616120053512048,1
215,32895,0,0.616120053512048,0
216,33048,0.464436472310197,0.616120053512048,1
217,33201,0,0.616120053512048,0
218,33354,0.47998669303058,0.616120053512048,2
219,33507,0.48976935020206,0.616120053512048,4
220,33660,0.464581854405611,0.616120053512048,1
221,33813,0.49629598512389,0.616120053512048,4
222,33966,0.495754225966308,0.616120053512048,5
223,34119,0.4797586773,0.616120053512048,4
224,34272,0.470144216101423,0.616120053512048,3
225,34425,0,0.616120053512048,0
226,34578,0.483446347656322,0.616120053512048,3
227,34731,0.494832958681099,0.616120053512048,4
228,34884,0.496345193944204,0.616120053512048,4
229,35037,0.469542132409301,0.616120053512048,2
230,35190,0.489263678731417,0.616120053512048,4
231,35343,0.461376480181739,0.616120053512048,2
232,35496,0.474553657057555,0.616120053512048,2
233,35649,0.498820920075347,0.616120053512048,4
234,35802,0.471470044367584,0.616120053512048,4
235,35955,0.488425116693861,0.616120053512048,3
236,36108,0.486989221564537,0.616120053512048,3
237,36261,0.487887201261001,0.616120053512048,5
238,36414,0.490514044795542,0.616120053512048,6
239,36567,0.499145305128214,0.616120053512048,9
240,36720,0.499207419903369,0.616120053512048,13
241,36873,0.475086813780391,0.616120053512048,7
242,37026,0.478353470353652,0.616120053512048,9
243,37179,0.498112915923434,0.616120053512048,7
244,37332,0.499207419903369,0.616120053512048,4
245,37485,0.496472603592599,0.616120053512048,7
246,37638,0.495997315885077,0.616120053512048,7
247,37791,0.499228818011476,0.616120053512048,6
248,37944,0.48319288227,0.616120053512048,11
249,38097,0.478423488680474,0.616120053512048,8
250,38250,0.481570845525,0.616120053512048,11
251,38403,0.499207419903369,0.616120053512048,8
252,38556,0.477791723984652,0.616120053512048,5
253,38709,0.480607822291165,0.616120053512048,5
254,38862,0.47801339234872,0.616120053512048,7
255,39015,0.498101423821835,0.616120053512048,2
256,39168,0.495487932533455,0.616120053512048,5
257,39321,0.48188074284,0.616120053512048,3
258,39474,0.48197620359,0.616120053512048,10
259,39627,0.479671015005,0.616120053512048,6
260,39780,0.474612040349156,0.616120053512048,2
261,39933,0.530795129961223,0.616120053512048,4
262,40086,0.477419303183696,0.616120053512048,1
263,40239,0.540468421731843,0.616120053512048,5
264,40392,0.487359535697386,0.616120053512048,1
265,40545,0.479563168747026,0.616120053512048,3
266,40698,0.472936309028952,0.616120053512048,3
267,40851,0,0.616120053512048,0
268,41004,0.492141893417085,0.616120053512048,6
269,41157,0.47563168464,0.616120053512048,2
270,41310,0.48389799906,0.616120053512048,9
271,41463,0.475444759746824,0.616120053512048,2
272,41616,0.480603897088645,0.616120053512048,6
273,41769,0.475915027233908,0.616120053512048,4
274,41922,0.469647038764789,0.616120053512048,1
275,42075,0.475489126614237,0.616120053512048,2
276,42228,0.480600953343772,0.616120053512048,5
277,42381,0.4833154431,0.616120053512048,6
278,42534,0.415338805403408,0.616120053512048,1
279,42687,0.478629336521704,0.616120053512048,5
280,42840,0.478389599111371,0.616120053512048,2
281,42993,0.479670886166992,0.616120053512048,3
282,43146,0.475582597410302,0.616120053512048,4
283,43299,0.482686485435,0.616120053512048,3
284,43452,0.474424586509172,0.616120053512048,1
285,43605,0,0.616120053512048,0
286,43758,0.478619340154976,0.616120053512048,3
287,43911,0.475238186328616,0.616120053512048,2
288,44064,0.479880808231653,0.616120053512048,3
289,44217,0.484900410196577,0.616120053512048,6
290,44370,0.47801981684648,0.616120053512048,3
291,44523,0.472218445430654,0.616120053512048,1
292,44676,0.480580958150875,0.616120053512048,5
293,44829,0.475444759746824,0.616120053512048,2
294,44982,0.46229816997,0.616120053512048,3
295,45135,0.475444759746824,0.616120053512048,5
296,45288,0.476310930259748,0.616120053512048,6
297,45441,0.48224658195,0.616120053512048,8
298,45594,0.480010063664786,0.616120053512048,4
299,45747,0.478342466589535,0.616120053512048,7
300,45900,0.481579069749717,0.616120053512048,11
301,46053,0.453563434693361,0.616120053512048,1
302,46206,0.499013016792425,0.616120053512048,7
303,46359,0.452899067915926,0.616120053512048,1
304,46512,0.481473313965,0.616120053512048,4
305,46665,0.499267815812544,0.616120053512048,8
306,46818,0.497317883591891,0.616120053512048,6
307,46971,0.47801981684648,0.616120053512048,1
308,47124,0.49925477469276,0.616120053512048,5
309,47277,0.485841502559977,0.616120053512048,10
310,47430,0.499234391025913,0.616120053512048,7
311,47583,0.474678868840951,0.616120053512048,4
312,47736,0.499269313328611,0.616120053512048,5
313,47889,0.49888962022131,0.616120053512048,9
314,48042,0.481473313965,0.616120053512048,3
315,48195,0.499244272605294,0.616120053512048,6
316,48348,0.499254309984613,0.616120053512048,7
317,48501,0.489618918948611,0.616120053512048,5
318,48654,0.496156516566805,0.616120053512048,4
319,48807,0.499204839704401,0.616120053512048,6
320,48960,0.499223341738667,0.616120053512048,8
321,49113,0.485177052151925,0.616120053512048,3
322,49266,0.501649994570978,0.616120053512048,7
323,49419,0.481473313965,0.616120053512048,7
324,49572,0.497680182363789,0.616120053512048,3
325,49725,0.499204839704401,0.616120053512048,6
326,49878,0.486974042892025,0.616120053512048,6
327,50031,0.497031766382225,0.616120053512048,4
328,50184,0.49920572288187,0.616120053512048,8
329,50337,0.486467455541023,0.616120053512048,3
330,50490,0.495664256856736,0.616120053512048,8
331,50643,0.475884038436826,0.616120053512048,2
332,50796,0.48646936668771,0.616120053512048,2
333,50949,0.483088453768227,0.616120053512048,4
334,51102,0.481493123299071,0.616120053512048,3
335,51255,0.48376160091,0.616120053512048,6
336,51408,0.49920572288187,0.616120053512048,6
337,51561,0.499262258789766,0.616120053512048,7
338,51714,0.48433449738285,0.616120053512048,6
339,51867,0.481473313965,0.616120053512048,6
340,52020,0.499258977121641,0.616120053512048,8
341,52173,0.499266867875999,0.616120053512048,9
342,52326,0.417910839446165,0.616120053512048,1
343,52479,0.499241126839886,0.616120053512048,6
344,52632,0.502419764272953,0.616120053512048,10
345,52785,0.478277492107817,0.616120053512048,2
346,52938,0.48254644242,0.616120053512048,7
347,53091,0.502511082228024,0.616120053512048,4
348,53244,0.500519718275609,0.616120053512048,12
349,53397,0.485638239947337,0.616120053512048,4
350,53550,0.48273947064,0.616120053512048,5
351,53703,0.500467804315206,0.616120053512048,5
352,53856,0.501187720582813,0.616120053512048,8
353,54009,0.490069512333926,0.616120053512048,5
354,54162,0.498662204328695,0.616120053512048,11
355,54315,0.48375560394,0.616120053512048,9
356,54468,0.483735488355,0.616120053512048,8
357,54621,0.48375560394,0.616120053512048,7
358,54774,0.487406207297893,0.616120053512048,2
359,54927,0.48322241226,0.616120053512048,7
360,55080,0.48316507596,0.616120053512048,4
361,55233,0.492385956563001,0.616120053512048,7
362,55386,0.493194283595168,0.616120053512048,9
363,55539,0.484510431357838,0.616120053512048,10
364,55692,0.501464096865817,0.616120053512048,7
365,55845,0.494755634046232,0.616120053512048,7
366,55998,0.48375560394,0.616120053512048,5
