#Gen,#Eval,HyperVolume using each gen,HyperVolume using whole gen,Num of feasible individuals
1,153,0,0,0
2,306,0,0,0
3,459,0,0,0
4,612,0,0,0
5,765,0,0,0
6,918,0,0,0
7,1071,0,0,0
8,1224,0,0,0
9,1377,0,0,0
10,1530,0,0,0
11,1683,0,0,0
12,1836,0,0,0
13,1989,0,0,0
14,2142,0,0,0
15,2295,0,0,0
16,2448,0,0,0
17,2601,0,0,0
18,2754,0,0,0
19,2907,0,0,0
20,3060,0,0,0
21,3213,0,0,0
22,3366,0,0,0
23,3519,0,0,0
24,3672,0,0,0
25,3825,0,0,0
26,3978,0,0,0
27,4131,0,0,0
28,4284,0,0,0
29,4437,0.259588830746014,0,1
30,4590,0,0,0
31,4743,0,0,0
32,4896,0,0,0
33,5049,0,0,0
34,5202,0,0,0
35,5355,0,0,0
36,5508,0,0,0
37,5661,0,0,0
38,5814,0,0,0
39,5967,0,0,0
40,6120,0,0,0
41,6273,0,0,0
42,6426,0,0,0
43,6579,0,0,0
44,6732,0,0,0
45,6885,0,0,0
46,7038,0.196218659114355,0.260956208840369,1
47,7191,0,0.260956208840369,0
48,7344,0,0.260956208840369,0
49,7497,0.308729632820244,0.342254925729944,1
50,7650,0,0.342254925729944,0
51,7803,0,0.342254925729944,0
52,7956,0,0.342254925729944,0
53,8109,0,0.342254925729944,0
54,8262,0,0.342254925729944,0
55,8415,0,0.342254925729944,0
56,8568,0,0.342254925729944,0
57,8721,0,0.342254925729944,0
58,8874,0,0.342254925729944,0
59,9027,0,0.342254925729944,0
60,9180,0,0.342254925729944,0
61,9333,0,0.342254925729944,0
62,9486,0,0.342254925729944,0
63,9639,0,0.342254925729944,0
64,9792,0,0.342254925729944,0
65,9945,0,0.342254925729944,0
66,10098,0,0.342254925729944,0
67,10251,0,0.342254925729944,0
68,10404,0,0.342254925729944,0
69,10557,0,0.342254925729944,0
70,10710,0,0.342254925729944,0
71,10863,0,0.342254925729944,0
72,11016,0,0.342254925729944,0
73,11169,0.544425325265652,0.576005686415455,1
74,11322,0,0.576005686415455,0
75,11475,0,0.576005686415455,0
76,11628,0,0.576005686415455,0
77,11781,0,0.576005686415455,0
78,11934,0,0.576005686415455,0
79,12087,0,0.576005686415455,0
80,12240,0,0.576005686415455,0
81,12393,0,0.576005686415455,0
82,12546,0,0.576005686415455,0
83,12699,0,0.576005686415455,0
84,12852,0,0.576005686415455,0
85,13005,0,0.576005686415455,0
86,13158,0,0.576005686415455,0
87,13311,0,0.576005686415455,0
88,13464,0,0.576005686415455,0
89,13617,0,0.576005686415455,0
90,13770,0,0.576005686415455,0
91,13923,0,0.576005686415455,0
92,14076,0,0.576005686415455,0
93,14229,0,0.576005686415455,0
94,14382,0,0.576005686415455,0
95,14535,0,0.576005686415455,0
96,14688,0,0.576005686415455,0
97,14841,0,0.576005686415455,0
98,14994,0,0.576005686415455,0
99,15147,0.482847860003047,0.576005686415455,1
100,15300,0,0.576005686415455,0
101,15453,0,0.576005686415455,0
102,15606,0.484577379030002,0.595470950681465,1
103,15759,0,0.595470950681465,0
104,15912,0,0.595470950681465,0
105,16065,0,0.595470950681465,0
106,16218,0,0.595470950681465,0
107,16371,0,0.595470950681465,0
108,16524,0,0.595470950681465,0
109,16677,0.509602380304636,0.602587551475316,1
110,16830,0.435963598715708,0.602587551475316,1
111,16983,0,0.602587551475316,0
112,17136,0,0.602587551475316,0
113,17289,0.523324327277406,0.614177046280532,1
114,17442,0.537796097615832,0.615338677833161,3
115,17595,0.483206354606636,0.615338677833161,2
116,17748,0.49166714798266,0.615338677833161,2
117,17901,0,0.615338677833161,0
118,18054,0.567533576342588,0.616470066705444,2
119,18207,0,0.616470066705444,0
120,18360,0,0.616470066705444,0
121,18513,0.578568880253885,0.618421289995801,4
122,18666,0.557673134299458,0.619801733343516,1
123,18819,0.504574513177816,0.619807881784102,2
124,18972,0,0.619807881784102,0
125,19125,0,0.619807881784102,0
126,19278,0,0.619807881784102,0
127,19431,0.584262963334919,0.620153426092207,3
128,19584,0.527045150835,0.620386672303033,2
129,19737,0.503352925770365,0.620386672303033,1
130,19890,0.544331072667746,0.620386672303033,2
131,20043,0.561749551272439,0.620414244422613,5
132,20196,0.479504521483583,0.620414244422613,1
133,20349,0.520841158558731,0.620418126875341,2
134,20502,0.502183955016427,0.620418126875341,1
135,20655,0.466597577299491,0.620418126875341,1
136,20808,0.502327077937818,0.620418126875341,2
137,20961,0,0.620418126875341,0
138,21114,0.557837418607205,0.620418126875341,3
139,21267,0.588679758376011,0.621031847204739,8
140,21420,0.467186700833368,0.621031847204739,2
141,21573,0.564986065129219,0.621031847204739,4
142,21726,0.530912639115626,0.621031847204739,2
143,21879,0.550345982755359,0.621031847204739,2
144,22032,0.570594814683461,0.621031847204739,4
145,22185,0.575527064252053,0.621031847204739,10
146,22338,0.552399105313957,0.621031847204739,4
147,22491,0.580497131524285,0.628586866386983,2
148,22644,0.582180014168632,0.630786095668277,1
149,22797,0.590116579056836,0.630856814919013,8
150,22950,0.560088030347674,0.630856814919013,5
151,23103,0.50524827547173,0.630856814919013,5
152,23256,0,0.630856814919013,0
153,23409,0,0.630856814919013,0
154,23562,0,0.630856814919013,0
155,23715,0,0.630856814919013,0
156,23868,0,0.630856814919013,0
157,24021,0,0.630856814919013,0
158,24174,0,0.630856814919013,0
159,24327,0,0.630856814919013,0
160,24480,0,0.630856814919013,0
161,24633,0,0.630856814919013,0
162,24786,0,0.630856814919013,1
163,24939,0,0.630856814919013,0
164,25092,0,0.630856814919013,0
165,25245,0,0.630856814919013,0
166,25398,0,0.630856814919013,0
167,25551,0,0.630856814919013,0
168,25704,0,0.630856814919013,0
169,25857,0,0.630856814919013,0
170,26010,0,0.630856814919013,0
171,26163,0,0.630856814919013,0
172,26316,0,0.630856814919013,0
173,26469,0,0.630856814919013,0
174,26622,0,0.630856814919013,0
175,26775,0,0.630856814919013,0
176,26928,0,0.630856814919013,0
177,27081,0.346873813503154,0.630856814919013,1
178,27234,0,0.630856814919013,0
179,27387,0,0.630856814919013,0
180,27540,0,0.630856814919013,0
181,27693,0,0.630856814919013,0
182,27846,0,0.630856814919013,0
183,27999,0,0.630856814919013,0
184,28152,0,0.630856814919013,0
185,28305,0,0.630856814919013,0
186,28458,0,0.630856814919013,0
187,28611,0,0.630856814919013,0
188,28764,0,0.630856814919013,0
189,28917,0.393184581622967,0.630856814919013,1
190,29070,0,0.630856814919013,0
191,29223,0,0.630856814919013,0
192,29376,0,0.630856814919013,0
193,29529,0,0.630856814919013,0
194,29682,0,0.630856814919013,0
195,29835,0,0.630856814919013,0
196,29988,0,0.630856814919013,0
197,30141,0,0.630856814919013,0
198,30294,0,0.630856814919013,0
199,30447,0,0.630856814919013,0
200,30600,0,0.630856814919013,0
201,30753,0,0.630856814919013,0
202,30906,0.515125006651535,0.630856814919013,3
203,31059,0.516550922193241,0.630856814919013,3
204,31212,0.562065121893054,0.630884451112585,2
205,31365,0.52163056573564,0.630884451112585,1
206,31518,0.516550922193241,0.630884451112585,2
207,31671,0.5695448679024,0.630884451112585,2
208,31824,0.516475130516933,0.630884451112585,1
209,31977,0.562358368187153,0.630884451112585,3
210,32130,0,0.630884451112585,0
211,32283,0,0.630884451112585,0
212,32436,0.575204838318455,0.630884451112585,3
213,32589,0.567492733570155,0.630884451112585,3
214,32742,0.575331313197615,0.630884451112585,5
215,32895,0.516550922193241,0.630884451112585,1
216,33048,0.578923494004185,0.630884451112585,5
217,33201,0.578500686714419,0.630884451112585,5
218,33354,0.554972880496266,0.630884451112585,6
219,33507,0.477315911430261,0.630884451112585,1
220,33660,0,0.630884451112585,0
221,33813,0.502272934372144,0.630884451112585,3
222,33966,0.440997446096974,0.630884451112585,1
223,34119,0.588194037995506,0.630888988309147,4
224,34272,0.562430262470328,0.630888988309147,3
225,34425,0.575437362673395,0.630888988309147,2
226,34578,0.491862273954621,0.630888988309147,1
227,34731,0.533055586472022,0.630888988309147,2
228,34884,0.521730735557063,0.630888988309147,2
229,35037,0.558145431252385,0.630888988309147,3
230,35190,0.569048980117017,0.630888988309147,4
231,35343,0.42540122134281,0.630888988309147,1
232,35496,0.584484929246777,0.631107154234237,3
233,35649,0.517886658337483,0.631107154234237,1
234,35802,0.535524566655755,0.631107154234237,3
235,35955,0.567710560875416,0.631107154234237,4
236,36108,0.533055586472022,0.631107154234237,1
237,36261,0.542303201593535,0.631107154234237,3
238,36414,0,0.631107154234237,0
239,36567,0.516733292703609,0.631107154234237,3
240,36720,0.536041792480655,0.631107154234237,3
241,36873,0.586953216586633,0.631374936681742,3
242,37026,0.499807230996531,0.631374936681742,1
243,37179,0.574939986200509,0.631374936681742,3
244,37332,0.516550922193241,0.631374936681742,1
245,37485,0.518830970020487,0.631374936681742,5
246,37638,0.561364091231594,0.631374936681742,5
247,37791,0.516550922193241,0.631374936681742,4
248,37944,0.557770945837193,0.631374936681742,7
249,38097,0.516550922193241,0.631374936681742,4
250,38250,0.567348123516281,0.631374936681742,3
251,38403,0.576238136995745,0.631374936681742,5
252,38556,0.46777656119,0.631374936681742,1
253,38709,0.472573525016202,0.631374936681742,1
254,38862,0.522454579333444,0.631374936681742,3
255,39015,0.567905147698238,0.631413002247308,1
256,39168,0.493073658251635,0.631413002247308,3
257,39321,0,0.631413002247308,0
258,39474,0.488975689034778,0.631413002247308,1
259,39627,0.516550922193241,0.631413002247308,1
260,39780,0,0.631413002247308,0
261,39933,0.495159230201536,0.631413002247308,1
262,40086,0,0.631413002247308,0
263,40239,0,0.631413002247308,0
264,40392,0,0.631413002247308,0
265,40545,0.568812933220909,0.631418700221589,1
266,40698,0.53338466517256,0.631418700221589,2
267,40851,0.491546757466478,0.631418700221589,1
268,41004,0.569693374598745,0.631435308862356,1
269,41157,0,0.631435308862356,0
270,41310,0.516550922193241,0.631435308862356,2
271,41463,0,0.631435308862356,0
272,41616,0.448967568843963,0.631435308862356,1
273,41769,0.481107080718793,0.631435308862356,2
274,41922,0.556365217482742,0.631435308862356,2
275,42075,0,0.631435308862356,0
276,42228,0.548793942232956,0.631780440217574,1
277,42381,0.524155928553874,0.631780440217574,1
278,42534,0,0.631780440217574,0
279,42687,0,0.631780440217574,0
280,42840,0,0.631780440217574,0
