#Gen,#Eval,HyperVolume using each gen,HyperVolume using whole gen,Num of feasible individuals
1,153,0,0,0
2,306,0,0,0
3,459,0,0,0
4,612,0,0,0
5,765,0.454306791456451,0,1
6,918,0,0,0
7,1071,0,0,0
8,1224,0,0,0
9,1377,0,0,0
10,1530,0,0,0
11,1683,0,0,0
12,1836,0,0,0
13,1989,0,0,0
14,2142,0,0,0
15,2295,0,0,0
16,2448,0,0,0
17,2601,0,0,0
18,2754,0,0,0
19,2907,0,0,0
20,3060,0.51942193065,0,1
21,3213,0.48551713927474,0.56342318209853,1
22,3366,0,0.56342318209853,0
23,3519,0,0.56342318209853,0
24,3672,0,0.56342318209853,0
25,3825,0.126189734347685,0.56342318209853,1
26,3978,0,0.56342318209853,0
27,4131,0,0.56342318209853,0
28,4284,0.430259106208428,0.56342318209853,1
29,4437,0,0.56342318209853,0
30,4590,0,0.56342318209853,0
31,4743,0,0.56342318209853,0
32,4896,0,0.56342318209853,0
33,5049,0.423315615100731,0.56342318209853,1
34,5202,0,0.56342318209853,0
35,5355,0.303082409187754,0.56342318209853,1
36,5508,0,0.56342318209853,0
37,5661,0,0.56342318209853,0
38,5814,0,0.56342318209853,0
39,5967,0,0.56342318209853,0
40,6120,0,0.56342318209853,0
41,6273,0,0.56342318209853,0
42,6426,0,0.56342318209853,0
43,6579,0,0.56342318209853,0
44,6732,0.500092413761342,0.567894689899872,1
45,6885,0,0.567894689899872,0
46,7038,0.500092413761342,0.567894689899872,2
47,7191,0.432558736096127,0.567894689899872,1
48,7344,0.500092413761342,0.567894689899872,1
49,7497,0,0.567894689899872,0
50,7650,0,0.567894689899872,0
51,7803,0,0.567894689899872,0
52,7956,0.479769136543347,0.567894689899872,1
53,8109,0,0.567894689899872,0
54,8262,0,0.567894689899872,0
55,8415,0,0.567894689899872,0
56,8568,0,0.567894689899872,0
57,8721,0,0.567894689899872,0
58,8874,0,0.567894689899872,0
59,9027,0,0.567894689899872,0
60,9180,0,0.567894689899872,0
61,9333,0,0.567894689899872,0
62,9486,0,0.567894689899872,0
63,9639,0,0.567894689899872,0
64,9792,0,0.567894689899872,0
65,9945,0.592531781164745,0.598755641515615,1
66,10098,0,0.598755641515615,0
67,10251,0,0.598755641515615,0
68,10404,0,0.598755641515615,0
69,10557,0,0.598755641515615,0
70,10710,0,0.598755641515615,0
71,10863,0,0.598755641515615,0
72,11016,0,0.598755641515615,0
73,11169,0.42841114671,0.598755641515615,2
74,11322,0.467150238868258,0.598755641515615,1
75,11475,0,0.598755641515615,0
76,11628,0,0.598755641515615,0
77,11781,0,0.598755641515615,0
78,11934,0.511875354406399,0.598755641515615,1
79,12087,0,0.598755641515615,0
80,12240,0,0.598755641515615,0
81,12393,0.500092413761342,0.598755641515615,1
82,12546,0,0.598755641515615,0
83,12699,0,0.598755641515615,0
84,12852,0,0.598755641515615,0
85,13005,0,0.598755641515615,0
86,13158,0,0.598755641515615,0
87,13311,0.42980671537328,0.598755641515615,1
88,13464,0,0.598755641515615,0
89,13617,0,0.598755641515615,0
90,13770,0,0.598755641515615,0
91,13923,0,0.598755641515615,0
92,14076,0,0.598755641515615,0
93,14229,0,0.598755641515615,0
94,14382,0,0.598755641515615,0
95,14535,0,0.598755641515615,0
96,14688,0.419725065140739,0.598755641515615,1
97,14841,0,0.598755641515615,0
98,14994,0,0.598755641515615,0
99,15147,0.47819355192,0.598755641515615,1
100,15300,0,0.598755641515615,0
101,15453,0,0.598755641515615,0
102,15606,0.457144282624952,0.598755641515615,1
103,15759,0,0.598755641515615,0
104,15912,0,0.598755641515615,0
105,16065,0,0.598755641515615,0
106,16218,0,0.598755641515615,0
107,16371,0,0.598755641515615,0
108,16524,0.489683803402743,0.598755641515615,1
109,16677,0,0.598755641515615,0
110,16830,0,0.598755641515615,0
111,16983,0.414055703144669,0.598755641515615,1
112,17136,0.437131436871429,0.598755641515615,3
113,17289,0.530661033649836,0.609697095467483,2
114,17442,0.432926544752156,0.609697095467483,2
115,17595,0.426373729921761,0.609697095467483,2
116,17748,0,0.609697095467483,0
117,17901,0.419725065140739,0.609697095467483,1
118,18054,0.413574988248056,0.609697095467483,1
119,18207,0.424725593630545,0.609697095467483,2
120,18360,0.417402988313432,0.609697095467483,1
121,18513,0.455961344810748,0.609697095467483,3
122,18666,0.460087190972899,0.609697095467483,5
123,18819,0.420844259355044,0.609697095467483,1
124,18972,0.465022647534594,0.609697095467483,3
125,19125,0.432926544752156,0.609697095467483,1
126,19278,0.417208675870101,0.609697095467483,2
127,19431,0.46708764904823,0.609697095467483,2
128,19584,0.410986601899887,0.609697095467483,1
129,19737,0.433177287716523,0.609697095467483,3
130,19890,0.416921106682157,0.609697095467483,2
131,20043,0.442220299960426,0.609697095467483,1
132,20196,0.455961344810748,0.609697095467483,4
133,20349,0.425090730367831,0.609697095467483,2
134,20502,0.452798339935371,0.609697095467483,2
135,20655,0.473823067736187,0.609697095467483,1
136,20808,0.465580243021562,0.609697095467483,2
137,20961,0.45756734256806,0.609697095467483,2
138,21114,0.439495603934461,0.609697095467483,1
139,21267,0.455961344810748,0.609697095467483,2
140,21420,0.429417118629507,0.609697095467483,3
141,21573,0.43673503607,0.609697095467483,3
142,21726,0.439446600335631,0.609697095467483,1
143,21879,0.437316107246769,0.609697095467483,2
144,22032,0,0.609697095467483,0
145,22185,0,0.609697095467483,0
146,22338,0.51823253600952,0.609697095467483,1
147,22491,0.484212022769841,0.609697095467483,1
148,22644,0.432311118173708,0.609697095467483,1
149,22797,0,0.609697095467483,0
150,22950,0.482034599372464,0.609697095467483,1
151,23103,0.420440199214673,0.609697095467483,1
152,23256,0.540516823001671,0.609697095467483,3
153,23409,0,0.609697095467483,0
154,23562,0.414379433418612,0.609697095467483,1
155,23715,0.433361160348265,0.609697095467483,6
156,23868,0.47639428711441,0.609697095467483,2
157,24021,0.47639428711441,0.609697095467483,5
158,24174,0.457756775199749,0.609697095467483,1
159,24327,0.434973583150529,0.609697095467483,1
160,24480,0.43145214793308,0.609697095467483,3
161,24633,0.41451147707,0.609697095467483,1
162,24786,0.475346747451918,0.609697095467483,2
163,24939,0.548887105083669,0.611787208323605,3
164,25092,0.42718569687,0.611787208323605,1
165,25245,0,0.611787208323605,0
166,25398,0.489109155725432,0.611787208323605,3
167,25551,0.47639428711441,0.611787208323605,4
168,25704,0.422871272786656,0.611787208323605,3
169,25857,0.46961921751789,0.611787208323605,1
170,26010,0,0.611787208323605,0
171,26163,0.420231814719046,0.611787208323605,1
172,26316,0.465928970023894,0.611787208323605,1
173,26469,0.47913343632,0.611787208323605,2
174,26622,0.479037957615,0.611787208323605,1
175,26775,0.441508888904747,0.611787208323605,2
176,26928,0.487969348810681,0.611787208323605,2
177,27081,0.479037957615,0.611787208323605,7
178,27234,0.458673991633089,0.611787208323605,1
179,27387,0.47639428711441,0.611787208323605,2
180,27540,0.529698765334647,0.611787208323605,3
181,27693,0.412971192408817,0.611787208323605,1
182,27846,0.496160366756766,0.611787208323605,5
183,27999,0.456155922073343,0.611787208323605,3
184,28152,0.495676153271503,0.611787208323605,6
185,28305,0.43885601293487,0.611787208323605,1
186,28458,0.410706168637141,0.611787208323605,1
187,28611,0.477159146243564,0.611787208323605,2
188,28764,0.475961986561791,0.611787208323605,1
189,28917,0.47924766603,0.611787208323605,2
190,29070,0.477159146243565,0.611787208323605,1
191,29223,0.494869642218339,0.611787208323605,3
192,29376,0.455961344810748,0.611787208323605,2
193,29529,0.48331409049,0.611787208323605,1
194,29682,0.479148141465,0.611787208323605,6
195,29835,0.479037957615,0.611787208323605,2
196,29988,0.478822543173725,0.611787208323605,1
197,30141,0.493235166466531,0.611787208323605,2
198,30294,0.47904877251,0.611787208323605,5
199,30447,0.49069363905494,0.611787208323605,3
200,30600,0.479037957615,0.611787208323605,7
201,30753,0.476133708403035,0.611787208323605,2
202,30906,0,0.611787208323605,0
203,31059,0.479037957615,0.611787208323605,4
204,31212,0.542621687822435,0.625763201707347,5
205,31365,0.473143323124275,0.625763201707347,1
206,31518,0.47908304262,0.625763201707347,3
207,31671,0.432808927118083,0.625763201707347,1
208,31824,0.47767028692993,0.625763201707347,5
209,31977,0.482697169376494,0.625763201707347,3
210,32130,0.475367590489537,0.625763201707347,2
211,32283,0.479702831265,0.625763201707347,5
212,32436,0.501658338466139,0.625763201707347,7
213,32589,0.47937022686,0.625763201707347,4
214,32742,0.507078686471729,0.625763201707347,10
215,32895,0.493415180542948,0.625763201707347,4
216,33048,0.478495113254428,0.625763201707347,1
217,33201,0.467486906373564,0.625763201707347,4
218,33354,0.519510885015049,0.625763201707347,9
219,33507,0.484730146601383,0.625763201707347,2
220,33660,0.499688783226132,0.625763201707347,11
221,33813,0.487677439779631,0.625763201707347,4
222,33966,0.479260722837065,0.625763201707347,4
223,34119,0.47404060218052,0.625763201707347,5
224,34272,0.479056008375,0.625763201707347,4
225,34425,0.477159146243564,0.625763201707347,4
226,34578,0.471609861893478,0.625763201707347,3
227,34731,0.473208096557064,0.625763201707347,3
228,34884,0.475316286276845,0.625763201707347,1
229,35037,0.479037957615,0.625763201707347,5
230,35190,0.479694392415,0.625763201707347,6
231,35343,0.47639428711441,0.625763201707347,2
232,35496,0.476509998137786,0.625763201707347,3
233,35649,0.4839046065,0.625763201707347,5
234,35802,0.523618805236607,0.625763201707347,7
235,35955,0.479037957615,0.625763201707347,4
236,36108,0.477436045894788,0.625763201707347,8
237,36261,0.469843020094525,0.625763201707347,3
238,36414,0.46279740276,0.625763201707347,5
239,36567,0.479037957615,0.625763201707347,5
240,36720,0.475774076932637,0.625763201707347,4
241,36873,0.4795703892,0.625763201707347,4
242,37026,0.467993491952165,0.625763201707347,3
243,37179,0.472748602021051,0.625763201707347,4
244,37332,0.47274973605026,0.625763201707347,1
245,37485,0,0.625763201707347,0
246,37638,0.474898465677222,0.625763201707347,4
247,37791,0.487984364694563,0.625763201707347,7
248,37944,0.479037957615,0.625763201707347,4
249,38097,0.479199468825,0.625763201707347,6
250,38250,0.469022822641857,0.625763201707347,3
251,38403,0.478517097210123,0.625763201707347,7
252,38556,0.473687353605527,0.625763201707347,3
253,38709,0.476205453934226,0.625763201707347,6
254,38862,0.47966120559,0.625763201707347,5
